player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned
Jason Myers,K,SEA,1,2.4,2.8,0,0,0.6,0.6,0.9,1,0.6,0.7,0.4,0.4,2.8,2.9,10,10,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,2.3,2.7,0,0,0.7,0.7,0.6,0.6,0.7,0.7,0.4,0.4,2.8,3,9.7,9.7,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,2.1,2.3,0,0,0.6,0.6,0.6,0.6,0.5,0.6,0.3,0.3,2.9,3,9.2,9.2,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,2,2.2,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.4,0.4,3,3,9,9,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,1.9,2.2,0,0,0.6,0.7,0.5,0.5,0.5,0.6,0.3,0.3,3.2,3.3,8.9,8.9,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.7,2.1,0,0,0.4,0.4,0.7,0.7,0.5,0.6,0.2,0.2,3.7,3.8,8.8,8.8,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,2.1,2.3,0,0,0.6,0.6,0.6,0.7,0.5,0.5,0.3,0.3,2.3,2.3,8.6,8.6,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.9,2.1,0,0,0.5,0.5,0.6,0.7,0.4,0.5,0.3,0.3,2.9,2.9,8.6,8.6,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.7,1.9,0,0,0.4,0.4,0.5,0.5,0.6,0.6,0.2,0.2,3.1,3.3,8.2,8.2,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.8,1.9,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,2.7,2.7,8.1,8.1,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,2,2.2,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.3,0.3,1.9,2.1,7.9,7.9,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,1.8,2.2,0,0,0.5,0.5,0.6,0.7,0.4,0.6,0.3,0.3,2.5,2.5,7.9,7.9,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.7,2.1,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.2,0.2,2.8,3.1,7.9,7.9,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,1,1.8,2,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.3,0.3,2.2,2.4,7.6,7.6,1664151,CBS,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,1,1.7,2,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,2.5,2.6,7.6,7.6,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.6,1.8,0,0,0.4,0.5,0.4,0.4,0.5,0.6,0.2,0.2,2.5,2.5,7.3,7.3,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.6,1.8,0,0,0.4,0.4,0.4,0.4,0.5,0.6,0.3,0.3,2.4,2.5,7.2,7.2,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,1,1.7,2,0,0,0.5,0.5,0.5,0.6,0.5,0.6,0.2,0.2,2.1,2.3,7.2,7.2,3163734,CBS,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.6,1.9,0,0,0.4,0.5,0.5,0.6,0.4,0.6,0.2,0.2,2.2,2.4,7,7,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.7,2,0,0,0.5,0.5,0.5,0.5,0.5,0.7,0.3,0.3,1.9,2,7,7,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brayden Narveson,K,GB,1,1.5,1.7,0,0,0.4,0.4,0.5,0.5,0.4,0.5,0.2,0.2,2.3,2.6,6.8,6.8,2964952,CBS,16873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.5,1.8,0,0,0.4,0.4,0.5,0.6,0.3,0.5,0.2,0.2,2.1,2.2,6.6,6.6,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,1,1.5,1.7,0,0,0.3,0.3,0.5,0.5,0.4,0.4,0.3,0.3,1.9,2,6.4,6.4,1109832,CBS,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,1,1.6,1.9,0,0,0.4,0.4,0.5,0.5,0.5,0.6,0.3,0.3,1.5,1.6,6.3,6.3,1971893,CBS,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,1.4,1.5,0,0,0.3,0.3,0.5,0.6,0.3,0.3,0.2,0.2,2.1,2.2,6.3,6.3,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.5,1.6,0,0,0.3,0.3,0.5,0.6,0.5,0.5,0.2,0.2,1.5,1.6,6,6,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,1.3,1.6,0,0,0.3,0.3,0.4,0.5,0.4,0.5,0.2,0.2,1.8,1.9,5.7,5.7,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,1.2,1.3,0,0,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,1.7,1.7,5.3,5.3,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.2,1.5,0,0,0.3,0.4,0.4,0.4,0.3,0.5,0.1,0.1,1.7,1.8,5.3,5.3,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,WAS,1,1.1,1.4,0,0,0.2,0.2,0.4,0.5,0.3,0.4,0.2,0.2,1.8,1.9,5.1,5.1,3121034,CBS,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,1,1.1,1.3,0,0,0.3,0.3,0.3,0.3,0.3,0.4,0.2,0.2,1.4,1.5,4.7,4.7,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,1,1,1.3,0,0,0.2,0.3,0.3,0.3,0.4,0.5,0.2,0.2,1.3,1.4,4.3,4.3,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KCC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,3055899,ESPN,13354,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3953687,ESPN,16414,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,NA,NA,15683,ESPN,10976,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,3050478,ESPN,13303,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,14993,ESPN,10868,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,2971573,ESPN,12860,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,4360234,ESPN,15368,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,NA,NA,4372066,ESPN,16286,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4362081,ESPN,15979,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,17427,ESPN,11945,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3049899,ESPN,13403,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,4689936,ESPN,16846,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,15965,ESPN,11387,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4249087,ESPN,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4034949,ESPN,13719,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3150744,ESPN,14717,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3124679,ESPN,13832,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,10621,ESPN,8851,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4566192,ESPN,16775,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brayden Narveson,K,GB,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,NA,NA,4361765,ESPN,16873,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,11122,ESPN,8930,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,NA,NA,2473037,ESPN,12437,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,17372,ESPN,11936,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,3917232,ESPN,14983,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3051909,ESPN,13718,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4686361,ESPN,16680,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4259619,ESPN,16444,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4567104,ESPN,16681,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3124084,ESPN,14600,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,12460,ESPN,9694,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,WAS,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4428963,ESPN,15882,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,2985659,ESPN,12956,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3821683,ESPN,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3975763,ESPN,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3123052,ESPN,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,2.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,8.8,NA,16712,FantasyPros,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,8.6,NA,19058,FantasyPros,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,1.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,8.5,NA,23297,FantasyPros,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,1.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,8.5,NA,15756,FantasyPros,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,8.4,NA,24009,FantasyPros,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,8.3,NA,16540,FantasyPros,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,8.2,NA,19760,FantasyPros,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8.1,NA,26075,FantasyPros,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,8.1,NA,11465,FantasyPros,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,1.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8,NA,17533,FantasyPros,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,1.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,7.9,NA,23901,FantasyPros,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
